prakrit	english
"""निज्जरिय-जरा-मरणं वन्दित्ता जिण-वरं महावीरं,छप्पण्णय-गाहाऒ वॊच्छं सुयणस्स जॊग्गाऒ"""	"""Life is transient, Death is imminent, The plowman's business is heavy, And those who sleep in the shade Look as though they were sleeping."""
"""पुरिसॆसच्च-समिद्धॆ,अलिय-दलिद्दॆसहावॆ-सन्तुट्ठॆ,तव-नियम-धम्म-मइऎविसमा विसमा हॊन्ति"""	"""Men have everything in common, Aliya - the downtrodden, Sahave - the contented, Thy - the law, The dharma, The wrong views exist."""
"""गयणम्मि गहा सयणम्मिसुमिणयासउणया वणग्गॆसु,तह वाहरन्ति पुरिसं जह दिट्ठं पुव्व-कम्मॆहिं"""	"""Gone are the days When men would groan at the sight of a woman Whose face was smeared with ghee."""
"""सव्वॆ ताह पसत्थासुमिणा सउणागहा य नक्खत्ता,ति-हुयण-मङ्गल-निलयं हियऎण जिणं वहन्तस्स"""	"""Everyone loves a good night's sleep: It is only by staying awake and enjoying oneself that one can conquer evil."""
"""कत्थइ न करइमॊल्लं सुवण्णयं कत्थ दूहवॊ वन्दॊ,कत्थइसरल-सहावॊ जणॊन संमाणणं लहइ"""	"""One does not commit adultery, One is a good wife, One makes love, And one makes lovers."""
"""दूर-त्थॊ डहइ रवी,अग्गी अङ्गॆहĩफरसिऒडहइ,डहइ पिय-विप्पऒगॊ,सुयणॊवि अ-दंसणॆ डहइ"""	"""Far away the fire is burning, The flames are pressing against her body, The drink is spilling over, The midday sun is threatening to set in."""
"""डहऎ सुयण-विऒगॊ,डहइअ-णाहत्तणं पर-विऎसॆ,डहइय अब्भक्खाणं,डहइअ-कज्जंकयंपच्छा"""	"""Right is swollen - vigor, Right - bruised - on impact - poison, Right is impetuous, Left - stinging - itching."""
"""सन्त-गुण-विप्पणासॆ असन्त-दॊसुब्भवॆयजं दुक्खं,तं सॊसॆइ समुद्दं; किं पुण हिययं मणुस्साणं?"""	"""Contentment is the remover of faults, Contempt is the healer of sorrows; What else is there for a man to gain?"""
"""सन्तॆहि अ-सन्तॆहियपरस्स किं जम्पियॆहि दॊसॆहिं?,अत्थॊ जसॊ न लब्भइ,सॊयअ-मित्तॊ कऒ हॊइ"""	"""What do you think you are doing, Jumping in and out of bed? But if you can't find one, Who is a good friend?"""
"""महुरॆण जिणह कडुयं,खमाए दप्पं गुरुं पणामॆण,सन्तॊसॆण यलॊहं,कलहं च अजम्पियव्वॆण"""	"""Forgiveness makes a man bitter, For forgiveness makes him wretched, And charity makes him wise; For contentment makes him violent, And strife makes him intolerable."""
"""ऎक्क-सुकऎण तूसह जाव सयं दुक्कियाण वॊलॆइ,स-सरीरॆ वि न सक्का दियहॆ दियहॆ पियं काउं"""	"""Because you are so unhappy Your body is slipping away."" ""Dear friend, Don't let your anger get the better of you."""
"""कह नाम तस्स पावं चिन्तिज्जइआगऎ विकॊहम्मि,उप्पल-दल-सुकुमालॊ जस्स घरॆओल्लिऒहत्थॊ?"""	"""What name can you give to that poor thing That grows wretched in the arbor, Like the lotus on the housetop?"""
"""पिय-पाहुण-आगमणॆअ-पहुप्पन्तस्ससज्जण-जणस्स,मरणाऒअब्भहियंउप्पज्जइमाणसंदुक्खं"""	"""Dear friend, The arrival of your husband - Your arrival, your arrival, Your departure, Your absence - It's like a miracle of fire and water."""
"""न हु अइ-भरियंधम्मइ; जह भरियं तह सुहावहं हॊइ;,पन्चम्मि न यकिलिम्मइगऒ वि पिय-पाहुणॊ हॊइ."""	"""I am not so full; the fuller the more pleasant; the thinner the feast, the less agreeable it is to drink."""
"""तॆ धन्ना जॆ धम्मं सुट्ठु वि जाणन्ति सुट्ठु विकरन्ति,जीविय-सारम अ-सारं:खणॆण परियत्तऎ सव्वं"""	"""Blessed are those who, knowing Dharma and falsehood, renounce falsehood And distort it: The essence of life is immaterial: Everything is purified by renunciation."""
"""सा माया सॊ य पिया,तं मित्तंबन्धवॊ यसॊ चॆव,जॊ हिय-निस्सॆस-करं धम्मस्स पहॆ नयं दॆइ"""	"""That love is dear to all beings, That affectionate ear, like that of a friend, Which in dharma heals all faults."""
"""न वि तं करॆइ माया पिया य पुत्तॊ य बन्धव-जणॊ य,जं पुरिसस्सायरिया करन्ति धम्मं उवइसन्ता."""	"""No one calls her dear, Not even her sons or relatives. What men and women do On behalf of their husbands Shows the Dharma."""
