prakrit	english
जाइसराइं मन्ने इमाइं नयणाइं सयललोयस्स,वियसन्ति पिये दिट्ठे अव्वो! मउलिन्ति वेसम्मि	"Jayserai, these women are so innocent that they do not drink at all! Behold the prostitutes frolicking in silence!
ता भवियव्वं इमिणा नवरं अइदुग्घडम्ह पडिहाइ,जं सा रायसुएणं वरिया कह मज्ज होहित्ति?	How can it be, my dear, That I have to kneel on either side of your husband While he is making love?
एवं विचिन्तिऊणं तम्बोलपयाणपुव्वयं भणिया,जं किञ्चि एत्थ होही दीसिस्सइ तं सयं अम्बे!	And think about it," said the girl at the foot of the tent, "If you see anything like that here, come with me!
भणियं सोमलयाए एवं एयन्ति नत्थि सन्देहो,तत्तो विहियपणामा उट्ठियसट्ठाणमणुपत्ता	"The land is barren and there are no more doubts, So get up early in the morning And take a bath" "is the popular saying.
अह भणइ भाणुवेगो पुव्विं दिट्ठस्स तस्स सुमिणस्स,लेसेण कोवि अत्थो 'वधारिओ ताव तं सुणसु	Ah! the breasts of the huntsman's wife! When he sees the maiden, He gives satisfaction to him. But let me tell you the truth:" "Listen to him while he kills!"
एसा हु कणगमाला माला होहित्ति,तीए जो रागो,तग्गहणं तं जाणसु वरणं पुण तीए अपत्ती	Such is the garland of lotuses; the anger she causes, the humility she shows, she knows how to describe it all again.
एत्तियमेत्तो अत्थो परिप्फुडो ताव जाणिओ हु मए,सेसम्पि हु अव्वत्तं वियाणियं किञ्चि तं सुणसु	I have grown so thin in the past That I know I can do anything, But listen to what I have to say next.
कोवि उवाएण इमं अप्पिस्सइ तुज्झ सा पुणो कहवि,भट्ठा तुह हत्थाओ पाविस्सइ आवइ गरुइं	Because you refused to bow before me again, I will repeat what you said:" "Your hands are now too heavy for my feet."
तत्तो रक्खिय कोवि हु ̣धोइस्सइ तुज्झ तेण पज्जन्तो,सुविणस्स सुन्दरो इय विणिच्छिओ सुविणसब्भावो	Protect her, I beg of you, She is beautiful without a trace of pretence.
तं सोउं मए भणियं सम्मं हि विणिच्छियं तुमे सुयणु!,घडइ जओ एसत्थो नवरं अइदुग्घडो लाहो	Go to sleep, I beg of you, As long as you sleep! Maybe it's time to get a new one, Lou."
तो भणइ भाणुवेगो वत्थुं न तं अत्थि एत्थ लोगम्मि,अणुकूलस्स उ विहिणो जं मन्ने दुग्घडं होइ	"So tell me, brother - in - law! There is no room for that sort of thing here and there, For it is quite impossible for a man to be so cruel.
भो सुप्पइट्ठ! एवं पइदियहं तक्कहाविणोएण,तप्पावणआसाए वोलीणा वासरा कइवि	"Go to sleep!" "And when the hunter has caught hold of me, One can make out that the calf has slipped away While trying to escape.
आसन्नमागयं अह लग्गदिणं ताहि खयरपरियरिओ,महया विच्छड्डेणं बन्धुजणसमन्निओ तत्थ	Anxious about the prospect of meeting you again, Dear friends, Let me explain to you the situation in front of your friends.
