"पसुवइणो रोसारुणपडिमासंकंतगोरिमुहअंदम्,गहिअग्घपंकअं मिअ संझासलिलंजलिं णमह"
"अमिअं पाउअकव्वं पढिउं सोउं च जे ण आणंति,कामस्स तत्ततत्तिं कुणंति ते कह ण लज्जंति"
"सत्त सआइं कइवच्छलेण कोडीअ मज्झआरम्मि,हालेण विरइआइं सालंकाराण गाहाणं"
"उअ णिच्चलणिप्पंदा भिसिणीवत्तम्मि रेहइ वलाआ,निम्मलमरगअभाअणपरिट्ठिआ संखसुत्ति व्व"
"ताव च्चिअ रइसमए महिलाणं विब्भमा विराअंति,जाव ण कुवलअदलसच्छहाइ मउलंति णअणाइं"
"अत्ता तह रमणिज्जं अंहं गामस्स मंडणीहूअं,लुअतिलवाडिसरिच्छं सिसिरेणकअं भिसिणिसंडं"
"किं रुअसि ओणअमुही धवलाअंतेसु सालिछेत्तेसु,हरिआलमंडिअमुही णडि व्व सणवाडिआ जाआ"
"सहि एरिसि च्चिअ गई मा रुव्वसु तंसवलिअमुहअंदं,एआण वालवालुंकितंतुकुडिलाण पेम्माणं"
"पाअपडिअस्स पइणो पुट्ठिं पुत्ते समारुहंतम्मि,दढमण्णुदूमिआइ विहासो घरिणीअ णिक्कंतो"
"रंधणकम्मणिउणिए मा जूरसु रत्तपाडलसुअंधं,मुहमारुअं पिअंतो धूमाइ सिही ण पज्जलइ"
"घरिणीअ महाणसकम्मलग्गमसिमइलिएण हत्थेण,छित्तं मुहं हसिज्जइ चंदावत्थं गअं पइणा"
"किं किं दे पडिहासइ सहीहि इअ पुच्छिआइ मुद्धाए,पढमुग्गअदोहलिणीअ णवर दइअं गआ दिट्ठी"
"अमअमअ गअणसेहर रअणीमुखतिलअ चंद दे छिवसु,छित्तो जेहि जिअअमो ममं पि तेहिं चिअ करेहिं"
"एहिज्ज सो पउत्थो अहअं कुप्पेज्ज सो वि अणुणेज्ज,इअ कस्स वि फलइ मणोरमाण माला पिअअमम्मि"
"कोसंवकिसलवण्णअ तण्णअ उण्णामिएहि कण्णेहिं,हिअअट्ठिअं घरं वच्चमाण धवलत्तणं पाव"
"अलिअपसुत्तअ विणिमीलिअच्छ दे सुहअ मज्झ ओआसं,गंडपरिउं वणापुलइअंग ण पुणो चिराइस्सं"
"असमत्त मंडण च्चिअ वच्च घरं से सकोउहल्लस्स,वोलाविअहलहलअस्स पुत्ति चित्ते ण लग्गिहिसि"
"आअरपणामिओट्टं अघडिअणासं असंहअणिडालं,वण्णघिअलित्तमुहिए तीए परिउंवणं भरिमो"
"आणासआइ देंती तह सुरए हरिसविअसिअकवोला,गोसे वि ओणअमुही अह से त्ति पिअं ण सद्धहिमो"
"पिअविरहो अप्पिअदंसणं च गरुआइ दो वि दुक्खाइ,जीअ तुमं कारिज्जसि तीअ णमो आहिजाईए"
"ण कुणंतो च्चिअ माणं णिसासु सुहसुत्तदरविवुद्धानं,सुण्णइअपासपरिमुसणवेअणं जइ सि जानंतो"
"पणअकुविआण दोण्ह वि अलिअपसुत्ताण माणइल्लाण,णिच्चलणिरुद्धणीसासदिण्णअण्णाण को मल्लो"
"णवलइपहरं अंगे जहिं जहिं महइ देअरो दाउं,रोमंच दंदराई तहिं तहिं दीसइ वहूए"
"अज्ज मए तेण विणा अणुहूअसुहाइ संभरंतीए,अहिणवमेहाण रवो णिसामिओ वज्झपडतो व्व"
"णिक्किव जाआभीरुअ दुद्दंसण णिंवकीडसारिच्छ,गामो गामणिणंदण तुज्झ कए तह वितणुआइ"
"पहरवणमग्गविसमे जाआ किच्छेण लहइ से णिद्दं,गामणिउत्तस्स उरे पल्ली उण से सुहं सुअइ"
"अह संभाविअमग्गो सुहअ तुए च्चेअ णवर णिव्वूढो,एण्हिं हिअए अण्णं अण्णं वाआइ लोअस्स"
"उण्हाइ णीससंतो कीस मह परंमुहीअ सअणद्धे,हिअअं पलीविउं अणुसएण पुट्ठिं पलीवेसि"
"दिअरस्स असुद्धमणस्स कुलवहूणिअअकुड्डलिहिआइ,दिअहं कहेइ रामाणुलग्गसोमित्तिचरिआइं"
"चत्तरघरिणी पिअदंसणा अ तरुणी पउत्थवइआअ,असई सअज्जिआदुग्गआ अ णह खंडिअं सीलं"
"अहिआइमाणिणो दुग्गअस्स छाइं पइस्स रक्खंही,णिअवंधवाण जूरइ घरिणी विहवेण एंताणं"
"साहीणे वि पिअअमे पत्ते वि छणे ण मंडिओ अप्पा,दुग्गअपउत्थवइअं सअज्जिअं संठवंतीए"
"तुज्झ वसइ त्ति हिअअं इमेहि दिट्ठो तुमं ति अच्छीइं,तुह विरहे किसिआइ ति तीए अंगाइ वि पिआइं"
"सब्भावणे हभरिए रत्ते रज्जिज्जइ त्ति जुत्तम् इणं,अणहिअए उण हिअअं जं दिज्जइ तं जणो हसइ"
"आरंभंतस्स धुअं लच्छी मरणं व होइ पुरिसस्स,तं मरणम् अणारंभे वि होइ लच्छी उण ण होइ"
"विरहाणलो सहिज्जइ आसावंधेण वल्लहजणस्स,एक्कग्गामपवासो माए मरणं विसेसेइ"
"अक्खडइ पिआ हिअए अण्णं महिलाअणं रमंतस्स,दिट्ठे सरिसम्मि गुणे सरिसम्मि गुणे अईसंते"
"णइपूरसच्छहे जोव्वणम्मि अइपवसिएसुदिअहेसु,अणिअत्तासु अ राईसु पुत्ति किं दड्ढमाणेण"
"कल्लं किर खरतिअओ पवसिहइ पिओ त्ति सुव्वइ जणम्मि,तह वड्ढ भअवइ णिसे जह से कल्लं चिअ ण होइ"
"होंतपहिअस्स जाआ आउच्छणजीअधारणरहस्सं,पुच्छंती भमइ घरं घरेण पिअविरहसहिरीओ"
"अण्णमहिलापसंगं दे देव्व करेसु अम्ह दइअस्स,पुरिसा एक्कंतरसा ण हु दोसगुणे विआणंति"
