english	prakrit
Bow before Siva's offering to Twilight, The water held in his cupped hand. Reflecting Gauris moonlike face, Now flushed with jealous anger, It looks more like a crimson lotus	पसुवइणो रोसारुणपडिमासंकंतगोरिमुहअंदम्,गहिअग्घपंकअं मिअ संझासलिलंजलिं णमह
Shame on those who cannot appreciate This ambrosial Prakrit poetry But pore instead Over treatises on love	अमिअं पाउअकव्वं पढिउं सोउं च जे ण आणंति,कामस्स तत्ततत्तिं कुणंति ते कह ण लज्जंति
Among countless elegant poems, King Hala, patron of poets, Has selected seven hundred.	सत्त सआइं कइवच्छलेण कोडीअ मज्झआरम्मि,हालेण विरइआइं सालंकाराण गाहाणं
Look at that heron Standing absolutely motionless On the lotus leaf. It is just like mother of pearl In a setting of spotless emerald.	उअ णिच्चलणिप्पंदा भिसिणीवत्तम्मि रेहइ वलाआ,निम्मलमरगअभाअणपरिट्ठिआ संखसुत्ति व्व
While making love, women go on enticing men Up to the very end When their eyes, Long and oval like the petals of the waterlily, Close	ताव च्चिअ रइसमए महिलाणं विब्भमा विराअंति,जाव ण कुवलअदलसच्छहाइ मउलंति णअणाइं
Look, mother-in-law! That lovely mass of lotuses Used to be the most beautiful thing in our village, But now winter has made them look Like a sesame field just after harvest	अत्ता तह रमणिज्जं अंहं गामस्स मंडणीहूअं,लुअतिलवाडिसरिच्छं सिसिरेणकअं भिसिणिसंडं
Cheer up! Don't cry for the paddy turning white. There's the field of hemp in bloom Like a dancer with her face painted yellow!	किं रुअसि ओणअमुही धवलाअंतेसु सालिछेत्तेसु,हरिआलमंडिअमुही णडि व्व सणवाडिआ जाआ
Friend, this is just the way things happen— Stop your tears, don't turn your face away— Like the tendrils of a young cucumber, One's affections twine around an object That does not stay.	सहि एरिसि च्चिअ गई मा रुव्वसु तंसवलिअमुहअंदं,एआण वालवालुंकितंतुकुडिलाण पेम्माणं
When their little son Climbed on her husband's back As he knelt at her feet, She could not help laughing Despite her fierce anger.	पाअपडिअस्स पइणो पुट्ठिं पुत्ते समारुहंतम्मि,दढमण्णुदूमिआइ विहासो घरिणीअ णिक्कंतो
Don't get annoyed: There's nothing wrong with your cooking. That the fire won't burn but only smokes Is because it wants to inhale your breath That has the fragrance of red trumpetflowers.	रंधणकम्मणिउणिए मा जूरसु रत्तपाडलसुअंधं,मुहमारुअं पिअंतो धूमाइ सिही ण पज्जलइ
The husband laughed at his wife's face Which, smudged with soot That stuck to her hand from kitchen work, Looked more than ever like the moon.	घरिणीअ महाणसकम्मलग्गमसिमइलिएण हत्थेण,छित्तं मुहं हसिज्जइ चंदावत्थं गअं पइणा
When her friends asked the young wife Who was pregnant for the first time What she craved most She simply looked at her husband	किं किं दे पडिहासइ सहीहि इअ पुच्छिआइ मुद्धाए,पढमुग्गअदोहलिणीअ णवर दइअं गआ दिट्ठी
Sweet moon, Crest jewel of the sky, Beauty spot on the face of night, Touch me with the very same rays With which you've touched my most dearly beloved.	अमअमअ गअणसेहर रअणीमुखतिलअ चंद दे छिवसु,छित्तो जेहि जिअअमो ममं पि तेहिं चिअ करेहिं
First let my dear husband come home, Then let me give him a scolding, And then let him do his best to bring me round. There must be someone who can get all three wishes.	एहिज्ज सो पउत्थो अहअं कुप्पेज्ज सो वि अणुणेज्ज,इअ कस्स वि फलइ मणोरमाण माला पिअअमम्मि
Young calf, Blushing red as a tender mango shoot, Running with ears pricked Towards the house of your desire, Assume the cool whiteness of a bull!	कोसंवकिसलवण्णअ तण्णअ उण्णामिएहि कण्णेहिं,हिअअट्ठिअं घरं वच्चमाण धवलत्तणं पाव
Dearest, I know you are not really asleep, Just keeping your eyes closed. I can see goose pimples rising as I kiss your cheek. I won't be late again.	अलिअपसुत्तअ विणिमीलिअच्छ दे सुहअ मज्झ ओआसं,गंडपरिउं वणापुलइअंग ण पुणो चिराइस्सं
Don't bother about your makeup, girl, Just go to him quickly, while he wants you. Once his longing is over He won't give you a thought.	असमत्त मंडण च्चिअ वच्च घरं से सकोउहल्लस्स,वोलाविअहलहलअस्स पुत्ति चित्ते ण लग्गिहिसि
I will never forget how, When her face was smeared with red ghee, We kissed, Carefully pouting our lips So that our noses and foreheads Wouldn't meet.	आअरपणामिओट्टं अघडिअणासं असंहअणिडालं,वण्णघिअलित्तमुहिए तीए परिउंवणं भरिमो
I refuse to believe that she who, Cheeks flushed with excitement, Is so demanding while making love Can really suit him, However meek she may be next mornin	आणासआइ देंती तह सुरए हरिसविअसिअकवोला,गोसे वि ओणअमुही अह से त्ति पिअं ण सद्धहिमो
Being separated from what is dear And being forced to look at what isn't Are two causes of grief. I bow to your good breeding Which demands that you act as you do.	पिअविरहो अप्पिअदंसणं च गरुआइ दो वि दुक्खाइ,जीअ तुमं कारिज्जसि तीअ णमो आहिजाईए
You would not be so touchy If you knew the pain of falling asleep beside one's lover And waking up in the middle of the night To discover that the bed is empty.	ण कुणंतो च्चिअ माणं णिसासु सुहसुत्तदरविवुद्धानं,सुण्णइअपासपरिमुसणवेअणं जइ सि जानंतो
At whichever part of her body Her husband's younger brother Aims the tender twig Gooseflesh raises a palisade of sticks.	णवलइपहरं अंगे जहिं जहिं महइ देअरो दाउं,रोमंच दंदराई तहिं तहिं दीसइ वहूए
Today, As I think of the pleasures I've had Without him, The thunder of the first rain clouds Sounds like the executioner's drum.	अज्ज मए तेण विणा अणुहूअसुहाइ संभरंतीए,अहिणवमेहाण रवो णिसामिओ वज्झपडतो व्व
Headman's son, How heartless you are! Shying away from your wife You rarely show yourself, Like a worm in a neem berry. Yet because of you The whole village is pining away.	णिक्किव जाआभीरुअ दुद्दंसण णिंवकीडसारिच्छ,गामो गामणिणंदण तुज्झ कए तह वितणुआइ
Lying on his breast, Rough with the scars of many a wound, The headman's wife finds it difficult to rest, But his village sleeps sound.	पहरवणमग्गविसमे जाआ किच्छेण लहइ से णिद्दं,गामणिउत्तस्स उरे पल्ली उण से सुहं सुअइ
What good old-fashioned honesty! But really, my dear, You're the only one who goes in for it. Nowadays people think one thing and say another.	अह संभाविअमग्गो सुहअ तुए च्चेअ णवर णिव्वूढो,एण्हिं हिअए अण्णं अण्णं वाआइ लोअस्स
What do you think you are doing, Embracing me from behind? First you set fire to my heart And then you start burning my back With these hot sighs of remorse.	उण्हाइ णीससंतो कीस मह परंमुहीअ सअणद्धे,हिअअं पलीविउं अणुसएण पुट्ठिं पलीवेसि
The good wife takes all day To explain to her importunate young brother-in-law The paintings on the walls of their house That depict the adventures of LaksmanRamas devoted younger brother.	दिअरस्स असुद्धमणस्स कुलवहूणिअअकुड्डलिहिआइ,दिअहं कहेइ रामाणुलग्गसोमित्तिचरिआइं
Young and attractive and her husband abroad, Living in poverty at a busy crossroad, With loose women in the neighborhood, —You're not telling me she's still chaste?	चत्तरघरिणी पिअदंसणा अ तरुणी पउत्थवइआअ,असई सअज्जिआदुग्गआ अ णह खंडिअं सीलं
Protecting the self-image of her husband, Who is poor but proud of his breeding, The wife scorns her own relatives As they arrive with rich presents.	अहिआइमाणिणो दुग्गअस्स छाइं पइस्स रक्खंही,णिअवंधवाण जूरइ घरिणी विहवेण एंताणं
Her husband is at hand And the festival in full swing. Yet she delays putting on her jewels To hearten the woman next door Who is poor And whose husband has still not returned.	साहीणे वि पिअअमे पत्ते वि छणे ण मंडिओ अप्पा,दुग्गअपउत्थवइअं सअज्जिअं संठवंतीए
To fall in love with a man who returns your love, One who is full of kindness and affection, Makes sense. But to give one's heart to a man who is utterly heartless Is laughable.	सब्भावणे हभरिए रत्ते रज्जिज्जइ त्ति जुत्तम् इणं,अणहिअए उण हिअअं जं दिज्जइ तं जणो हसइ
If a man shows initiative There is the prospect of either wealth or death. Even if he lacks initiative, death is certain, Wealth is not.	आरंभंतस्स धुअं लच्छी मरणं व होइ पुरिसस्स,तं मरणम् अणारंभे वि होइ लच्छी उण ण होइ
While making love to another woman His beloved will come to mind Both when he sees and doesn't see A familiar trait.	अक्खडइ पिआ हिअए अण्णं महिलाअणं रमंतस्स,दिट्ठे सरिसम्मि गुणे सरिसम्मि गुणे अईसंते
