prakrit	english
एवं विचिन्तिऊणं अन्नेहिं अन्नेण समाढत्तो, ए लिक्विड्टी ईवेंट।	And guess what these people call that final affirmation: A LIQUIDITY EVENT.
तत्थवि तत्थ झत्ति झत्ति तुमं निउजीलैण्डं दट्ठुं	You started showing what New Zealand really was almost immediately.
कणगमालॊत्ति भाणुगइणा भणियं गुगुलं, एयं अबं केवल-वाऒ हॊन्ति?	Do you remember when Google sounded like a stupid word to say, and now it’s just a word ?
एत्थन्तरम्मि, एयं विचिन्तिऊणं कयं कि किं विच्छायकरं तव्विग्गं एवं	In addition, it’s necessary to analyze whether something specific has occurred between you and your cat.
तं चिय खिस्सइ नायं वयणं, अइबिजाए न हु पाविज्जइ न हु इयाइविज्जाए	That should not be missed, in 2 years there will be nothing to buy on Ibiza.
तत्तो य तेण कहवि कह णु काहं उवविट्ठो तुमए एत्थ सग्गेहिं	Now, then, tell me under what tree you surprised them together.
एवं च जं मे दट्ठुं मोत्तु भणिओ तेण वि, अम्हारिसायं तेणवि सरकारं नाह!	And those I saw told me that they too, like us, no longer want this government!
एवं कयाइवि तत्तो पभायसमएणं तेलो ताव न लद्धो, सो मह मारिस्सइ कणगमालत्ति	And if I do not take the oil to the king to-morrow morning, he will kill me.
एवं जाणामो तीए पुण पुणो पुणो तुह मणुयाणं, जं अम्हे वि... सिग्घं बाहिं जायं	And we know how much it reaffirms your masculinity when we ... max out.
अच्छउ ता तुमए भणियं एयं सत्थं राजकुमारं।	Okay, you are the one who said these words, Seventh Prince.
आगामि वित्तीयं संसारे सुहं भवियं, जह तुमए होसिओ सयंभवो तुमए बैंकॊ.	Welcome to the future financial world where you can be your own bank.
तेण भणियं चिय तं कज्जेण एवं केणवि मोक्खमित्तं	He said he would have liked a contract and some sort of compensation.
- 4नंबरं मज्झ एयं मं तिन्नि नवि मित्ताइं Facebook.	– NUMBER FOUR: Because this month, I had three new friends on Facebook.
एवं च तेण (निप्पेर्स) वज्जरियं एयं पट्ठवियं तेण, निसुणेसु पुरिसाणं विणिग्गओ विज्जाओ	And for his (Nippers's) part, this was the first and the last time he would do another man's business without pay.
अहं न याणामि तेण पुणिस्स सङ्गमे गओ अहयं	I don’t know whether he (absent) went fishing with Puniss.
केणवि नवि सत्थमणिं मारन्तेण निययम्मि	Someone or something is trying to kill Seven of Nine.
केणीः एवं विचिन्तयन्तीए तीए निज्जियसञ्जुत्तो	Kenny: And she starts to develop her own personal brand around this.
जेण एयं हत्था बहुविगप्पं उद्गमइ (पत्थणा सह तत्थ), तेण वि एक्कं सिट्ठस्स अन्नेण मणेणं	Just as this hammer produces many sparks (when it strikes the rock), so a single verse has several meanings.
जं गिलिया न जओ तं चएमि खाउ'मए।	I eat even what cannot be swallowed.
[9] एत्थन्तरम्मि विहिओ विचिन्तिज्जइ।	[9] His work is also discussed here.
अह सत्थं सव्वम्पि हु दोवि तलोआरं एत्थ समागया एत्थ।	Oh, two of the Seven Swords will be joining this delegation.
एवं समुद्दो तं सुणइ?	and the sea obey him?
तुमं केत्तिअमेत्ताओ निज्जियसुराणं?	How many of you have forgiven your enemies?
अज्जवि देवप्रेमिणिओ तेण निसुणसु एसो उत्तमो प्रवेसो	This, more assuredly, is the better entry for those who love God today.
तुज्झ समीवमेव अम्हेवि पवज्जए एवं, हिययविज्जाणपरियरिओ तत्थ वयंसु हिययाइं	You are quite right, we must and we shall listen to the voice of our movement, if there is a movement.
एसो सो भणइ एसो तुह ईसाइयसङ्घट्ठिओ एसो	This is what he is saying, and this is what will happen in your Christian struggle.
जे सव्वं भगवदंसणं दट्ठुं ते सव्वं सव्वं तेहिं वच्चन्ति।	Those who see God's hand in everything can best leave everything in His hands.
एत्थन्तरम्मि आयासे सव्वे समप्पिओ ठिओ समुप्पन्नो	Everybody seems temporarily frozen by this man's voice.
महिमावंतुओ सो धणदेवो पुत्तस्स परं	Glory be to Him:(far exalted is He) above having a son.
भाणुगइणा मए तेण नयरे नामेण ममं विहिणा)	But I love that she created a new term for my unique birth).
तहवि हु उवरिं ओ. एल. ए. एफ़. कीसुइक्खाइं भाविओ तत्थ समप्पियं न होइ!	Nevertheless, it is certainly not enough to commit to implementing OLAF’s recommendations in the future!
ता जीएण न जीए तुब्भेहिं एसा तुनिसिया का टैक्सीवाला	It cannot bring you back to life - A Taxi Driver in Tunis
एत्थन्तरम्मि कज्जं होइ जुत्तं तव्विग्घं गाढं।	It has to be something both you and your husband deeply want.
एवं विचिन्तयन्तो विज्जाहरनयरम्मि, तत्तो य तेण सयलपरियरिओ सो!	And this was after 40 years of collaboration! - Peter Bisson
21 "देवभएणं सामन्नं समप्पियं कुणह।	21, "submitting yourselves one to another in the fear of God.
एत्थन्तरम्मि एन्ति सेटेलाइट् मिसाइल्सं होंति किंवा होंति।	They have or soon will have “anti-satellite” missiles.
न केणइ वा कइव महत्त्वपूर्णं मज्झ पढमघरिज्जाणे	nobody or anything important in my first official presentation
(किन्तु इमाण 644 गामाणं विकासनिधियाइं नयाइं।	(But the development funds for these 644 villages did not.
ख) अन्नं च अप्पाणं निज्जिययं च अन्नेण विणिग्गओ	b) When you actualize and personalize the sermon one last time.
कारणवसेहि वयंसु वि देइ इच्छामो वाणीए अत्थि, एत्तियमेत्तेसु विज्जाहरनयरम्मि	Because we also want to give a voice to the very small nation.
जेण जणस्स दासं मारेइ सो नाणाविहदेसेण तिसियं दाणं	If he kills a man’s slave, he shall pay one-third of a mina.”
पासुत्तो सव्वोवि सुरक्खयं पालेइ वा ण होंति	Whether Or Not They've Always Used Protection In the Past
ई.-222 जइ वसामि संयूएसंसत्थारियरम्मि, होज्ज मज्झ अमेरिकनॊत्ति	E-222 If I stay in the United States, I'm an American.
