prakrit	english
पसुवइणो रोसारुणपडिमासंकंतगोरिमुहअंदम्,गहिअग्घपंकअं मिअ संझासलिलंजलिं णमह	Bow before Siva's offering to Twilight, The water held in his cupped hand. Reflecting Gauris moonlike face, Now flushed with jealous anger, It looks more like a crimson lotus
अमिअं पाउअकव्वं पढिउं सोउं च जे ण आणंति,कामस्स तत्ततत्तिं कुणंति ते कह ण लज्जंति	Shame on those who cannot appreciate This ambrosial Prakrit poetry But pore instead Over treatises on love
सत्त सआइं कइवच्छलेण कोडीअ मज्झआरम्मि,हालेण विरइआइं सालंकाराण गाहाणं	Among countless elegant poems, King Hala, patron of poets, Has selected seven hundred.
उअ णिच्चलणिप्पंदा भिसिणीवत्तम्मि रेहइ वलाआ,निम्मलमरगअभाअणपरिट्ठिआ संखसुत्ति व्व	Look at that heron Standing absolutely motionless On the lotus leaf. It is just like mother of pearl In a setting of spotless emerald.
ताव च्चिअ रइसमए महिलाणं विब्भमा विराअंति,जाव ण कुवलअदलसच्छहाइ मउलंति णअणाइं	While making love, women go on enticing men Up to the very end When their eyes, Long and oval like the petals of the waterlily, Close
अत्ता तह रमणिज्जं अंहं गामस्स मंडणीहूअं,लुअतिलवाडिसरिच्छं सिसिरेणकअं भिसिणिसंडं	Look, mother-in-law! That lovely mass of lotuses Used to be the most beautiful thing in our village, But now winter has made them look Like a sesame field just after harvest
किं रुअसि ओणअमुही धवलाअंतेसु सालिछेत्तेसु,हरिआलमंडिअमुही णडि व्व सणवाडिआ जाआ	Cheer up! Don't cry for the paddy turning white. There's the field of hemp in bloom Like a dancer with her face painted yellow!
सहि एरिसि च्चिअ गई मा रुव्वसु तंसवलिअमुहअंदं,एआण वालवालुंकितंतुकुडिलाण पेम्माणं	Friend, this is just the way things happen— Stop your tears, don't turn your face away— Like the tendrils of a young cucumber, One's affections twine around an object That does not stay.
पाअपडिअस्स पइणो पुट्ठिं पुत्ते समारुहंतम्मि,दढमण्णुदूमिआइ विहासो घरिणीअ णिक्कंतो	When their little son Climbed on her husband's back As he knelt at her feet, She could not help laughing Despite her fierce anger.
रंधणकम्मणिउणिए मा जूरसु रत्तपाडलसुअंधं,मुहमारुअं पिअंतो धूमाइ सिही ण पज्जलइ	Don't get annoyed: There's nothing wrong with your cooking. That the fire won't burn but only smokes Is because it wants to inhale your breath That has the fragrance of red trumpetflowers.
